dataset,instance_id,image,on_dockerhub
swebench_full,astropy__astropy-11693,swebench/sweb.eval.x86_64.astropy_1776_astropy-11693,True
swebench_full,astropy__astropy-12057,swebench/sweb.eval.x86_64.astropy_1776_astropy-12057,True
swebench_full,astropy__astropy-12318,swebench/sweb.eval.x86_64.astropy_1776_astropy-12318,True
swebench_full,astropy__astropy-12544,swebench/sweb.eval.x86_64.astropy_1776_astropy-12544,True
swebench_full,astropy__astropy-12825,swebench/sweb.eval.x86_64.astropy_1776_astropy-12825,True
swebench_full,astropy__astropy-12842,swebench/sweb.eval.x86_64.astropy_1776_astropy-12842,True
swebench_full,astropy__astropy-12880,swebench/sweb.eval.x86_64.astropy_1776_astropy-12880,True
swebench_full,astropy__astropy-12891,swebench/sweb.eval.x86_64.astropy_1776_astropy-12891,True
swebench_full,astropy__astropy-12907,swebench/sweb.eval.x86_64.astropy_1776_astropy-12907,True
swebench_full,astropy__astropy-12962,swebench/sweb.eval.x86_64.astropy_1776_astropy-12962,True
swebench_full,astropy__astropy-13032,swebench/sweb.eval.x86_64.astropy_1776_astropy-13032,True
swebench_full,astropy__astropy-13033,swebench/sweb.eval.x86_64.astropy_1776_astropy-13033,True
swebench_full,astropy__astropy-13068,swebench/sweb.eval.x86_64.astropy_1776_astropy-13068,True
swebench_full,astropy__astropy-13073,swebench/sweb.eval.x86_64.astropy_1776_astropy-13073,True
swebench_full,astropy__astropy-13075,swebench/sweb.eval.x86_64.astropy_1776_astropy-13075,True
swebench_full,astropy__astropy-13132,swebench/sweb.eval.x86_64.astropy_1776_astropy-13132,True
swebench_full,astropy__astropy-13158,swebench/sweb.eval.x86_64.astropy_1776_astropy-13158,True
swebench_full,astropy__astropy-13162,swebench/sweb.eval.x86_64.astropy_1776_astropy-13162,True
swebench_full,astropy__astropy-13234,swebench/sweb.eval.x86_64.astropy_1776_astropy-13234,True
swebench_full,astropy__astropy-13236,swebench/sweb.eval.x86_64.astropy_1776_astropy-13236,True
swebench_full,astropy__astropy-13306,swebench/sweb.eval.x86_64.astropy_1776_astropy-13306,True
swebench_full,astropy__astropy-13390,swebench/sweb.eval.x86_64.astropy_1776_astropy-13390,True
swebench_full,astropy__astropy-13398,swebench/sweb.eval.x86_64.astropy_1776_astropy-13398,True
swebench_full,astropy__astropy-13404,swebench/sweb.eval.x86_64.astropy_1776_astropy-13404,True
swebench_full,astropy__astropy-13417,swebench/sweb.eval.x86_64.astropy_1776_astropy-13417,True
swebench_full,astropy__astropy-13438,swebench/sweb.eval.x86_64.astropy_1776_astropy-13438,True
swebench_full,astropy__astropy-13453,swebench/sweb.eval.x86_64.astropy_1776_astropy-13453,True
swebench_full,astropy__astropy-13462,swebench/sweb.eval.x86_64.astropy_1776_astropy-13462,True
swebench_full,astropy__astropy-13465,swebench/sweb.eval.x86_64.astropy_1776_astropy-13465,True
swebench_full,astropy__astropy-13469,swebench/sweb.eval.x86_64.astropy_1776_astropy-13469,True
swebench_full,astropy__astropy-13477,swebench/sweb.eval.x86_64.astropy_1776_astropy-13477,True
swebench_full,astropy__astropy-13572,swebench/sweb.eval.x86_64.astropy_1776_astropy-13572,True
swebench_full,astropy__astropy-13579,swebench/sweb.eval.x86_64.astropy_1776_astropy-13579,True
swebench_full,astropy__astropy-13638,swebench/sweb.eval.x86_64.astropy_1776_astropy-13638,True
swebench_full,astropy__astropy-13668,swebench/sweb.eval.x86_64.astropy_1776_astropy-13668,True
swebench_full,astropy__astropy-13731,swebench/sweb.eval.x86_64.astropy_1776_astropy-13731,True
swebench_full,astropy__astropy-13734,swebench/sweb.eval.x86_64.astropy_1776_astropy-13734,True
swebench_full,astropy__astropy-13745,swebench/sweb.eval.x86_64.astropy_1776_astropy-13745,True
swebench_full,astropy__astropy-13803,swebench/sweb.eval.x86_64.astropy_1776_astropy-13803,True
swebench_full,astropy__astropy-13838,swebench/sweb.eval.x86_64.astropy_1776_astropy-13838,True
swebench_full,astropy__astropy-13842,swebench/sweb.eval.x86_64.astropy_1776_astropy-13842,True
swebench_full,astropy__astropy-13933,swebench/sweb.eval.x86_64.astropy_1776_astropy-13933,True
swebench_full,astropy__astropy-13977,swebench/sweb.eval.x86_64.astropy_1776_astropy-13977,True
swebench_full,astropy__astropy-14042,swebench/sweb.eval.x86_64.astropy_1776_astropy-14042,True
swebench_full,astropy__astropy-14096,swebench/sweb.eval.x86_64.astropy_1776_astropy-14096,True
swebench_full,astropy__astropy-14163,swebench/sweb.eval.x86_64.astropy_1776_astropy-14163,True
swebench_full,astropy__astropy-14182,swebench/sweb.eval.x86_64.astropy_1776_astropy-14182,True
swebench_full,astropy__astropy-14213,swebench/sweb.eval.x86_64.astropy_1776_astropy-14213,True
swebench_full,astropy__astropy-14253,swebench/sweb.eval.x86_64.astropy_1776_astropy-14253,True
swebench_full,astropy__astropy-14295,swebench/sweb.eval.x86_64.astropy_1776_astropy-14295,True
swebench_full,astropy__astropy-14309,swebench/sweb.eval.x86_64.astropy_1776_astropy-14309,True
swebench_full,astropy__astropy-14365,swebench/sweb.eval.x86_64.astropy_1776_astropy-14365,True
swebench_full,astropy__astropy-14369,swebench/sweb.eval.x86_64.astropy_1776_astropy-14369,True
swebench_full,astropy__astropy-14371,swebench/sweb.eval.x86_64.astropy_1776_astropy-14371,True
swebench_full,astropy__astropy-14379,swebench/sweb.eval.x86_64.astropy_1776_astropy-14379,True
swebench_full,astropy__astropy-14413,swebench/sweb.eval.x86_64.astropy_1776_astropy-14413,True
swebench_full,astropy__astropy-14439,swebench/sweb.eval.x86_64.astropy_1776_astropy-14439,True
swebench_full,astropy__astropy-14484,swebench/sweb.eval.x86_64.astropy_1776_astropy-14484,True
swebench_full,astropy__astropy-14508,swebench/sweb.eval.x86_64.astropy_1776_astropy-14508,True
swebench_full,astropy__astropy-14528,swebench/sweb.eval.x86_64.astropy_1776_astropy-14528,True
swebench_full,astropy__astropy-14539,swebench/sweb.eval.x86_64.astropy_1776_astropy-14539,True
swebench_full,astropy__astropy-14566,swebench/sweb.eval.x86_64.astropy_1776_astropy-14566,True
swebench_full,astropy__astropy-14578,swebench/sweb.eval.x86_64.astropy_1776_astropy-14578,True
swebench_full,astropy__astropy-14590,swebench/sweb.eval.x86_64.astropy_1776_astropy-14590,True
swebench_full,astropy__astropy-14598,swebench/sweb.eval.x86_64.astropy_1776_astropy-14598,True
swebench_full,astropy__astropy-14628,swebench/sweb.eval.x86_64.astropy_1776_astropy-14628,True
swebench_full,astropy__astropy-14701,swebench/sweb.eval.x86_64.astropy_1776_astropy-14701,True
swebench_full,astropy__astropy-14702,swebench/sweb.eval.x86_64.astropy_1776_astropy-14702,True
swebench_full,astropy__astropy-14907,swebench/sweb.eval.x86_64.astropy_1776_astropy-14907,True
swebench_full,astropy__astropy-14938,swebench/sweb.eval.x86_64.astropy_1776_astropy-14938,True
swebench_full,astropy__astropy-14966,swebench/sweb.eval.x86_64.astropy_1776_astropy-14966,True
swebench_full,astropy__astropy-14991,swebench/sweb.eval.x86_64.astropy_1776_astropy-14991,True
swebench_full,astropy__astropy-14995,swebench/sweb.eval.x86_64.astropy_1776_astropy-14995,True
swebench_full,astropy__astropy-6938,swebench/sweb.eval.x86_64.astropy_1776_astropy-6938,True
swebench_full,astropy__astropy-7008,swebench/sweb.eval.x86_64.astropy_1776_astropy-7008,True
swebench_full,astropy__astropy-7166,swebench/sweb.eval.x86_64.astropy_1776_astropy-7166,True
swebench_full,astropy__astropy-7218,swebench/sweb.eval.x86_64.astropy_1776_astropy-7218,True
swebench_full,astropy__astropy-7336,swebench/sweb.eval.x86_64.astropy_1776_astropy-7336,True
swebench_full,astropy__astropy-7441,swebench/sweb.eval.x86_64.astropy_1776_astropy-7441,True
swebench_full,astropy__astropy-7606,swebench/sweb.eval.x86_64.astropy_1776_astropy-7606,True
swebench_full,astropy__astropy-7671,swebench/sweb.eval.x86_64.astropy_1776_astropy-7671,True
swebench_full,astropy__astropy-7737,swebench/sweb.eval.x86_64.astropy_1776_astropy-7737,True
swebench_full,astropy__astropy-7746,swebench/sweb.eval.x86_64.astropy_1776_astropy-7746,True
swebench_full,astropy__astropy-7858,swebench/sweb.eval.x86_64.astropy_1776_astropy-7858,True
swebench_full,astropy__astropy-7973,swebench/sweb.eval.x86_64.astropy_1776_astropy-7973,True
swebench_full,astropy__astropy-8005,swebench/sweb.eval.x86_64.astropy_1776_astropy-8005,True
swebench_full,astropy__astropy-8251,swebench/sweb.eval.x86_64.astropy_1776_astropy-8251,True
swebench_full,astropy__astropy-8263,swebench/sweb.eval.x86_64.astropy_1776_astropy-8263,True
swebench_full,astropy__astropy-8292,swebench/sweb.eval.x86_64.astropy_1776_astropy-8292,True
swebench_full,astropy__astropy-8339,swebench/sweb.eval.x86_64.astropy_1776_astropy-8339,True
swebench_full,astropy__astropy-8519,swebench/sweb.eval.x86_64.astropy_1776_astropy-8519,True
swebench_full,astropy__astropy-8707,swebench/sweb.eval.x86_64.astropy_1776_astropy-8707,True
swebench_full,astropy__astropy-8715,swebench/sweb.eval.x86_64.astropy_1776_astropy-8715,True
swebench_full,astropy__astropy-8747,swebench/sweb.eval.x86_64.astropy_1776_astropy-8747,True
swebench_full,astropy__astropy-8872,swebench/sweb.eval.x86_64.astropy_1776_astropy-8872,True
swebench_full,django__django-10087,swebench/sweb.eval.x86_64.django_1776_django-10087,True
swebench_full,django__django-10097,swebench/sweb.eval.x86_64.django_1776_django-10097,True
swebench_full,django__django-10213,swebench/sweb.eval.x86_64.django_1776_django-10213,True
swebench_full,django__django-10287,swebench/sweb.eval.x86_64.django_1776_django-10287,True
swebench_full,django__django-10301,swebench/sweb.eval.x86_64.django_1776_django-10301,True
swebench_full,django__django-10316,swebench/sweb.eval.x86_64.django_1776_django-10316,True
swebench_full,django__django-10390,swebench/sweb.eval.x86_64.django_1776_django-10390,True
swebench_full,django__django-10426,swebench/sweb.eval.x86_64.django_1776_django-10426,True
swebench_full,django__django-10531,swebench/sweb.eval.x86_64.django_1776_django-10531,True
swebench_full,django__django-10554,swebench/sweb.eval.x86_64.django_1776_django-10554,True
swebench_full,django__django-10606,swebench/sweb.eval.x86_64.django_1776_django-10606,True
swebench_full,django__django-10643,swebench/sweb.eval.x86_64.django_1776_django-10643,True
swebench_full,django__django-10680,swebench/sweb.eval.x86_64.django_1776_django-10680,True
swebench_full,django__django-10730,swebench/sweb.eval.x86_64.django_1776_django-10730,True
swebench_full,django__django-10737,swebench/sweb.eval.x86_64.django_1776_django-10737,True
swebench_full,django__django-10853,swebench/sweb.eval.x86_64.django_1776_django-10853,True
swebench_full,django__django-10880,swebench/sweb.eval.x86_64.django_1776_django-10880,True
swebench_full,django__django-10904,swebench/sweb.eval.x86_64.django_1776_django-10904,True
swebench_full,django__django-10910,swebench/sweb.eval.x86_64.django_1776_django-10910,True
swebench_full,django__django-10914,swebench/sweb.eval.x86_64.django_1776_django-10914,True
swebench_full,django__django-10924,swebench/sweb.eval.x86_64.django_1776_django-10924,True
swebench_full,django__django-10939,swebench/sweb.eval.x86_64.django_1776_django-10939,True
swebench_full,django__django-10957,swebench/sweb.eval.x86_64.django_1776_django-10957,True
swebench_full,django__django-10973,swebench/sweb.eval.x86_64.django_1776_django-10973,True
swebench_full,django__django-10989,swebench/sweb.eval.x86_64.django_1776_django-10989,True
swebench_full,django__django-10997,swebench/sweb.eval.x86_64.django_1776_django-10997,True
swebench_full,django__django-10999,swebench/sweb.eval.x86_64.django_1776_django-10999,True
swebench_full,django__django-11001,swebench/sweb.eval.x86_64.django_1776_django-11001,True
swebench_full,django__django-11003,swebench/sweb.eval.x86_64.django_1776_django-11003,True
swebench_full,django__django-11011,swebench/sweb.eval.x86_64.django_1776_django-11011,True
swebench_full,django__django-11019,swebench/sweb.eval.x86_64.django_1776_django-11019,True
swebench_full,django__django-11030,swebench/sweb.eval.x86_64.django_1776_django-11030,True
swebench_full,django__django-11034,swebench/sweb.eval.x86_64.django_1776_django-11034,True
swebench_full,django__django-11039,swebench/sweb.eval.x86_64.django_1776_django-11039,True
swebench_full,django__django-11044,swebench/sweb.eval.x86_64.django_1776_django-11044,True
swebench_full,django__django-11049,swebench/sweb.eval.x86_64.django_1776_django-11049,True
swebench_full,django__django-11053,swebench/sweb.eval.x86_64.django_1776_django-11053,True
swebench_full,django__django-11057,swebench/sweb.eval.x86_64.django_1776_django-11057,True
swebench_full,django__django-11062,swebench/sweb.eval.x86_64.django_1776_django-11062,True
swebench_full,django__django-11066,swebench/sweb.eval.x86_64.django_1776_django-11066,True
swebench_full,django__django-11070,swebench/sweb.eval.x86_64.django_1776_django-11070,True
swebench_full,django__django-11085,swebench/sweb.eval.x86_64.django_1776_django-11085,True
swebench_full,django__django-11087,swebench/sweb.eval.x86_64.django_1776_django-11087,True
swebench_full,django__django-11088,swebench/sweb.eval.x86_64.django_1776_django-11088,True
swebench_full,django__django-11095,swebench/sweb.eval.x86_64.django_1776_django-11095,True
swebench_full,django__django-11096,swebench/sweb.eval.x86_64.django_1776_django-11096,True
swebench_full,django__django-11099,swebench/sweb.eval.x86_64.django_1776_django-11099,True
swebench_full,django__django-11115,swebench/sweb.eval.x86_64.django_1776_django-11115,True
swebench_full,django__django-11119,swebench/sweb.eval.x86_64.django_1776_django-11119,True
swebench_full,django__django-11129,swebench/sweb.eval.x86_64.django_1776_django-11129,True
swebench_full,django__django-11133,swebench/sweb.eval.x86_64.django_1776_django-11133,True
swebench_full,django__django-11138,swebench/sweb.eval.x86_64.django_1776_django-11138,True
swebench_full,django__django-11141,swebench/sweb.eval.x86_64.django_1776_django-11141,True
swebench_full,django__django-11149,swebench/sweb.eval.x86_64.django_1776_django-11149,True
swebench_full,django__django-11155,swebench/sweb.eval.x86_64.django_1776_django-11155,True
swebench_full,django__django-11163,swebench/sweb.eval.x86_64.django_1776_django-11163,True
swebench_full,django__django-11165,swebench/sweb.eval.x86_64.django_1776_django-11165,True
swebench_full,django__django-11166,swebench/sweb.eval.x86_64.django_1776_django-11166,True
swebench_full,django__django-11169,swebench/sweb.eval.x86_64.django_1776_django-11169,True
swebench_full,django__django-11170,swebench/sweb.eval.x86_64.django_1776_django-11170,True
swebench_full,django__django-11177,swebench/sweb.eval.x86_64.django_1776_django-11177,True
swebench_full,django__django-11179,swebench/sweb.eval.x86_64.django_1776_django-11179,True
swebench_full,django__django-11185,swebench/sweb.eval.x86_64.django_1776_django-11185,True
swebench_full,django__django-11194,swebench/sweb.eval.x86_64.django_1776_django-11194,True
swebench_full,django__django-11205,swebench/sweb.eval.x86_64.django_1776_django-11205,True
swebench_full,django__django-11206,swebench/sweb.eval.x86_64.django_1776_django-11206,True
swebench_full,django__django-11211,swebench/sweb.eval.x86_64.django_1776_django-11211,True
swebench_full,django__django-11214,swebench/sweb.eval.x86_64.django_1776_django-11214,True
swebench_full,django__django-11216,swebench/sweb.eval.x86_64.django_1776_django-11216,True
swebench_full,django__django-11234,swebench/sweb.eval.x86_64.django_1776_django-11234,True
swebench_full,django__django-11239,swebench/sweb.eval.x86_64.django_1776_django-11239,True
swebench_full,django__django-11244,swebench/sweb.eval.x86_64.django_1776_django-11244,True
swebench_full,django__django-11260,swebench/sweb.eval.x86_64.django_1776_django-11260,True
swebench_full,django__django-11265,swebench/sweb.eval.x86_64.django_1776_django-11265,True
swebench_full,django__django-11270,swebench/sweb.eval.x86_64.django_1776_django-11270,True
swebench_full,django__django-11276,swebench/sweb.eval.x86_64.django_1776_django-11276,True
swebench_full,django__django-11278,swebench/sweb.eval.x86_64.django_1776_django-11278,True
swebench_full,django__django-11279,swebench/sweb.eval.x86_64.django_1776_django-11279,True
swebench_full,django__django-11281,swebench/sweb.eval.x86_64.django_1776_django-11281,True
swebench_full,django__django-11283,swebench/sweb.eval.x86_64.django_1776_django-11283,True
swebench_full,django__django-11292,swebench/sweb.eval.x86_64.django_1776_django-11292,True
swebench_full,django__django-11294,swebench/sweb.eval.x86_64.django_1776_django-11294,True
swebench_full,django__django-11298,swebench/sweb.eval.x86_64.django_1776_django-11298,True
swebench_full,django__django-11299,swebench/sweb.eval.x86_64.django_1776_django-11299,True
swebench_full,django__django-11323,swebench/sweb.eval.x86_64.django_1776_django-11323,True
swebench_full,django__django-11333,swebench/sweb.eval.x86_64.django_1776_django-11333,True
swebench_full,django__django-11334,swebench/sweb.eval.x86_64.django_1776_django-11334,True
swebench_full,django__django-11354,swebench/sweb.eval.x86_64.django_1776_django-11354,True
swebench_full,django__django-11356,swebench/sweb.eval.x86_64.django_1776_django-11356,True
swebench_full,django__django-11359,swebench/sweb.eval.x86_64.django_1776_django-11359,True
swebench_full,django__django-11374,swebench/sweb.eval.x86_64.django_1776_django-11374,True
swebench_full,django__django-11377,swebench/sweb.eval.x86_64.django_1776_django-11377,True
swebench_full,django__django-11383,swebench/sweb.eval.x86_64.django_1776_django-11383,True
swebench_full,django__django-11389,swebench/sweb.eval.x86_64.django_1776_django-11389,True
swebench_full,django__django-11396,swebench/sweb.eval.x86_64.django_1776_django-11396,True
swebench_full,django__django-11399,swebench/sweb.eval.x86_64.django_1776_django-11399,True
swebench_full,django__django-11400,swebench/sweb.eval.x86_64.django_1776_django-11400,True
swebench_full,django__django-11405,swebench/sweb.eval.x86_64.django_1776_django-11405,True
swebench_full,django__django-11417,swebench/sweb.eval.x86_64.django_1776_django-11417,True
swebench_full,django__django-11422,swebench/sweb.eval.x86_64.django_1776_django-11422,True
swebench_full,django__django-11423,swebench/sweb.eval.x86_64.django_1776_django-11423,True
swebench_full,django__django-11428,swebench/sweb.eval.x86_64.django_1776_django-11428,True
swebench_full,django__django-11433,swebench/sweb.eval.x86_64.django_1776_django-11433,True
swebench_full,django__django-11446,swebench/sweb.eval.x86_64.django_1776_django-11446,True
swebench_full,django__django-11451,swebench/sweb.eval.x86_64.django_1776_django-11451,True
swebench_full,django__django-11457,swebench/sweb.eval.x86_64.django_1776_django-11457,True
swebench_full,django__django-11477,swebench/sweb.eval.x86_64.django_1776_django-11477,True
swebench_full,django__django-11490,swebench/sweb.eval.x86_64.django_1776_django-11490,True
swebench_full,django__django-11501,swebench/sweb.eval.x86_64.django_1776_django-11501,True
swebench_full,django__django-11514,swebench/sweb.eval.x86_64.django_1776_django-11514,True
swebench_full,django__django-11517,swebench/sweb.eval.x86_64.django_1776_django-11517,True
swebench_full,django__django-11525,swebench/sweb.eval.x86_64.django_1776_django-11525,True
swebench_full,django__django-11527,swebench/sweb.eval.x86_64.django_1776_django-11527,True
swebench_full,django__django-11532,swebench/sweb.eval.x86_64.django_1776_django-11532,True
swebench_full,django__django-11539,swebench/sweb.eval.x86_64.django_1776_django-11539,True
swebench_full,django__django-11543,swebench/sweb.eval.x86_64.django_1776_django-11543,True
swebench_full,django__django-11550,swebench/sweb.eval.x86_64.django_1776_django-11550,True
swebench_full,django__django-11551,swebench/sweb.eval.x86_64.django_1776_django-11551,True
swebench_full,django__django-11555,swebench/sweb.eval.x86_64.django_1776_django-11555,True
swebench_full,django__django-11559,swebench/sweb.eval.x86_64.django_1776_django-11559,True
swebench_full,django__django-11560,swebench/sweb.eval.x86_64.django_1776_django-11560,True
swebench_full,django__django-11564,swebench/sweb.eval.x86_64.django_1776_django-11564,True
swebench_full,django__django-11583,swebench/sweb.eval.x86_64.django_1776_django-11583,True
swebench_full,django__django-11584,swebench/sweb.eval.x86_64.django_1776_django-11584,True
swebench_full,django__django-11591,swebench/sweb.eval.x86_64.django_1776_django-11591,True
swebench_full,django__django-11592,swebench/sweb.eval.x86_64.django_1776_django-11592,True
swebench_full,django__django-11603,swebench/sweb.eval.x86_64.django_1776_django-11603,True
swebench_full,django__django-11605,swebench/sweb.eval.x86_64.django_1776_django-11605,True
swebench_full,django__django-11612,swebench/sweb.eval.x86_64.django_1776_django-11612,True
swebench_full,django__django-11618,swebench/sweb.eval.x86_64.django_1776_django-11618,True
swebench_full,django__django-11620,swebench/sweb.eval.x86_64.django_1776_django-11620,True
swebench_full,django__django-11622,swebench/sweb.eval.x86_64.django_1776_django-11622,True
swebench_full,django__django-11630,swebench/sweb.eval.x86_64.django_1776_django-11630,True
swebench_full,django__django-11638,swebench/sweb.eval.x86_64.django_1776_django-11638,True
swebench_full,django__django-11666,swebench/sweb.eval.x86_64.django_1776_django-11666,True
swebench_full,django__django-11669,swebench/sweb.eval.x86_64.django_1776_django-11669,True
swebench_full,django__django-11677,swebench/sweb.eval.x86_64.django_1776_django-11677,True
swebench_full,django__django-11680,swebench/sweb.eval.x86_64.django_1776_django-11680,True
swebench_full,django__django-11688,swebench/sweb.eval.x86_64.django_1776_django-11688,True
swebench_full,django__django-11692,swebench/sweb.eval.x86_64.django_1776_django-11692,True
swebench_full,django__django-11695,swebench/sweb.eval.x86_64.django_1776_django-11695,True
swebench_full,django__django-11701,swebench/sweb.eval.x86_64.django_1776_django-11701,True
swebench_full,django__django-11707,swebench/sweb.eval.x86_64.django_1776_django-11707,True
